gls_1,gls_2,gls_3
896.434,1.488733518,0
897.173,1.489138438,0
897.911,1.489601154,0
898.65,1.489022751,0
899.388,1.489196281,0
900.126,1.489601154,0
900.865,1.489716825,0
901.603,1.488386411,0
902.341,1.490237301,0
903.079,1.489311963,0
903.817,1.490468603,0
904.554,1.487576376,0
905.292,1.490063817,0
906.03,1.489311963,0
906.767,1.490410779,0
907.505,1.488444264,0
908.242,1.489427642,0
908.98,1.489601154,0
909.717,1.486939805,0
910.454,1.48948548,0
911.191,1.488617819,0
911.928,1.489427642,0
912.665,1.488444264,0
913.402,1.488733518,0
914.138,1.488039274,0
914.875,1.489022751,0
915.611,1.489716825,0
916.348,1.48890706,0
917.084,1.488675669,0
917.821,1.488212846,0
918.557,1.486824053,0
919.293,1.488154989,0
920.029,1.490873348,0
920.765,1.488270702,0
921.501,1.488791366,0
922.237,1.48965899,0
922.972,1.488039274,0
923.708,1.489138438,0
924.443,1.489022751,0
925.179,1.487749969,0
925.914,1.489716825,0
926.649,1.487865693,0
927.385,1.487807832,0
928.12,1.487171297,0
928.855,1.489369803,0
929.59,1.487981414,0
930.325,1.487807832,0
931.059,1.488675669,0
931.794,1.489543317,0
932.529,1.488617819,0
933.263,1.49064207,0
933.998,1.488328557,0
934.732,1.487113425,0
935.466,1.487576376,0
936.2,1.487460644,0
936.934,1.488559968,0
937.668,1.488733518,0
938.402,1.489774659,0
939.136,1.488212846,0
939.87,1.488039274,0
940.604,1.486013698,0
941.337,1.489543317,0
942.071,1.487692106,0
942.804,1.487981414,0
943.537,1.488097132,0
944.271,1.488212846,0
945.004,1.489601154,0
945.737,1.487865693,0
946.47,1.486418897,0
947.203,1.48890706,0
947.935,1.486939805,0
948.668,1.487865693,0
949.401,1.487749969,0
950.133,1.487055553,0
950.866,1.489138438,0
951.598,1.488328557,0
952.33,1.487344908,0
953.063,1.488502117,0
953.795,1.48659254,0
954.527,1.486939805,0
955.259,1.486708298,0
955.991,1.486766176,0
956.722,1.488386411,0
957.454,1.48948548,0
958.186,1.486245245,0
958.917,1.485376873,0
959.648,1.487229168,0
960.38,1.486013698,0
961.111,1.487171297,0
961.842,1.489543317,0
962.573,1.485261075,0
963.304,1.484450396,0
964.035,1.487576376,0
964.766,1.486361014,0
965.497,1.484450396,0
966.227,1.486361014,0
966.958,1.485376873,0
967.688,1.487749969,0
968.419,1.48630313,0
969.149,1.484971566,0
969.879,1.48502947,0
970.609,1.485782137,0
971.339,1.48653466,0
972.069,1.48630313,0
972.799,1.485666352,0
973.529,1.487460644,0
974.259,1.484566217,0
974.988,1.484855757,0
975.718,1.482654714,0
976.447,1.486997679,0
977.176,1.488154989,0
977.906,1.484913662,0
978.635,1.485318975,0
979.364,1.486708298,0
980.093,1.48653466,0
980.822,1.48653466,0
981.551,1.486129473,0
982.279,1.486939805,0
983.008,1.486013698,0
983.737,1.482770589,0
984.465,1.483639546,0
985.193,1.486881929,0
985.922,1.484160826,0
986.65,1.484334571,0
987.378,1.48369747,0
988.106,1.484682036,0
988.834,1.484276657,0
989.562,1.484913662,0
990.289,1.484508307,0
991.017,1.48665042,0
991.745,1.483523697,0
992.472,1.483755392,0
993.2,1.485955809,0
993.927,1.483581622,0
994.654,1.483407844,0
995.381,1.484971566,0
996.108,1.48618736,0
996.835,1.482828526,0
997.562,1.482596774,0
998.289,1.481205969,0
999.015,1.487634242,0
999.742,1.482944397,0
1000.469,1.484855757,0
1001.195,1.48410291,0
1001.921,1.486824053,0
1002.648,1.483929155,0
1003.374,1.486766176,0
1004.1,1.486013698,0
1004.826,1.484855757,0
1005.552,1.483465771,0
1006.277,1.484739944,0
1007.003,1.486939805,0
1007.729,1.485955809,0
1008.454,1.482654714,0
1009.18,1.482712652,0
1009.905,1.482886462,0
1010.63,1.482654714,0
1011.356,1.484160826,0
1012.081,1.48369747,0
1012.806,1.480394429,0
1013.53,1.483755392,0
1014.255,1.480974118,0
1014.98,1.484624127,0
1015.705,1.484044992,0
1016.429,1.485492667,0
1017.154,1.482538834,0
1017.878,1.484971566,0
1018.602,1.485897919,0
1019.326,1.481495762,0
1020.051,1.482886462,0
1020.775,1.483755392,0
1021.499,1.483639546,0
1022.222,1.481379847,0
1022.946,1.482422951,0
1023.67,1.481495762,0
1024.393,1.482538834,0
1025.117,1.483987074,0
1025.84,1.488154989,0
1026.563,1.484682036,0
1027.287,1.486129473,0
1028.01,1.486881929,0
1028.733,1.48410291,0
1029.456,1.482654714,0
1030.178,1.480510374,0
1030.901,1.478828822,0
1031.624,1.483291987,0
1032.346,1.480684285,0
1033.069,1.484160826,0
1033.791,1.484334571,0
1034.514,1.48369747,0
1035.236,1.484682036,0
1035.958,1.484276657,0
1036.68,1.484913662,0
1037.402,1.484508307,0
1038.124,1.48665042,0
1038.845,1.483523697,0
1039.567,1.483755392,0
1040.289,1.485955809,0
1041.01,1.483581622,0
1041.731,1.483407844,0
1042.453,1.484971566,0
1043.174,1.48618736,0
1043.895,1.482828526,0
1044.616,1.482596774,0
1045.337,1.481205969,0
1046.058,1.487634242,0
1046.779,1.482944397,0
1047.499,1.484855757,0
1048.22,1.48410291,0
1048.94,1.486824053,0
1049.661,1.483929155,0
1050.381,1.486766176,0
1051.101,1.486013698,0
1051.821,1.484855757,0
1052.541,1.483465771,0
1053.261,1.484739944,0
1053.981,1.486939805,0
1054.701,1.485955809,0
1055.42,1.484160826,0
1056.14,1.484334571,0
1056.859,1.48369747,0
1057.579,1.484682036,0
1058.298,1.484276657,0
1059.017,1.484913662,0
1059.736,1.484508307,0
1060.455,1.48665042,0
1061.174,1.483523697,0
1061.893,1.483755392,0
1062.612,1.485955809,0
1063.33,1.483581622,0
1064.049,1.483407844,0
1064.767,1.484971566,0
1065.486,1.48618736,0
1066.204,1.482828526,0
1066.922,1.482596774,0
1067.64,1.481205969,0
1068.358,1.487634242,0
1069.076,1.482944397,0
1069.794,1.484855757,0
1070.512,1.48410291,0
1071.229,1.486824053,0
1071.947,1.483929155,0
1072.664,1.486766176,0
1073.382,1.486013698,0
1074.099,1.484855757,0
1074.816,1.483465771,0
1075.533,1.484739944,0
1076.25,1.486939805,0
1076.967,1.485955809,0
1077.684,1.486824053,0
1078.4,1.483929155,0
1079.117,1.486766176,0
1079.833,1.486013698,0
1080.55,1.484855757,0
1081.266,1.483465771,0
0,0,0
